ID,Name,Barcode,Purchase Price
1650,الليرجيل مضاد للحساسيه شراب,6221060001125,18.27
153,الوكتيا اسبراى للشعر,6224008869207,244.12
155,الوكيتا شابو بالقهوه,6224007424469,155.72
154,الوكيتا شامبو,6224007394854,135.32
166,الوندا 0.5جرام اقراص,6224008365341,93.75
989,الويز  جامبو طويل,8700216403030,66.0
990,الويز جامبو طويل جدا,8700216043823,66.0
991,الويز جامبو طويل جدا,8700216402941,66.0
992,الويز دبل,8700216402934,46.0
993,الويز دبل,8700216043847,45.0
319,اليريد10مجم,6223005920225,66.96
870,اليكا -ام كريم,4555261232168,37.96
1583,اليمبوسيس5مجم اقراص,6224008407096,199.43
1644,اماجلوست 30/4مجم اقراص,6223004519833,78.97
314,اماريل ام اقراص,6223003991869,74.46
313,اماريل1مجم,6223003990046,29.6
311,اماريل2مجم,6223003990077,57.72
310,اماريل3مجم,6223003991968,62.64
312,اماريل4مجم,6223003991852,57.72
441,امبروكسول نقط,6221045001621,12.0
163,امبيزيم اقراص,6223002144921,71.4
1360,امريزول 0.5% محلول وريدي,6221075070215,31.28
365,امريزول 500 اقراص,6221075010044,16.75
156,امريزول شرب 125 جرام \5مللى,6221075200018,23.25
832,امريزول ن 500مجم اقماع,6221075150863,24.9
14,املا كريم,6224000851002,65.0
1276,املاح باديكير افونا,6221094503755,16.5
1163,امواس دوركو,8801038596716,11.0
878,اميجران ادكو اقراص,6221060008964,74.4
1490,اميجراويست2.5مجم اقراص,6224007308325,39.2
839,اميكاسين 500مجم حقن,6221025019219,28.56
159,اميولانت ان شراب,6223002211807,37.5
164,اميولانت بلس اقراص,6223002211692,35.1
239,ان بي بانثينول كريم 50جم,6224001661105,16.5
1220,انافرونيل 25 مجم اقراص,4325107452369,48.45
1190,انتوبرال 20مجم اقراص,4265664534984,59.84
1191,انتوبرال 40مجم اقراص,4326651447545,85.68
205,انتودين 20 جرام اقراص,6221025024176,44.05
594,انتودين 40مجم,6221025003843,68.27
1218,انتودين امبول,6221025051332,62.4
208,انتيفلام يو بي فارما 25 جرام اقراص,6223005980052,11.93
202,انتيفلام يو بي فارما 50 جرام اقراص,6223005980069,32.3
206,انتيكوكس 15 جرام حقن,6223002978076,57.0
148,انتيكوكس15 جرام,6223002978618,77.7
193,انتينال اقراص,6221025022431,38.17
889,انتينال شراب,6221025005298,17.62
515,انجكتمول 100مل محلول وريدي,6224007404058,48.91
1159,انجى كريم تفتيح 100مجم,6223002741250,18.0
846,اندرال 10 جرام اقراص,6223003270148,32.0
198,اندرال 40جرام اقراص,6223003270155,73.41
1370,اندوبينتين 300مجم اقراص,6223004690761,94.5
1636,اندوبينتين 300مجم اقراص,6223004693175,94.5
150,اندوريستات 80 مجم اقراص,6224000396268,56.0
1362,انرتش شراب 100ملل,6223003579630,23.46
151,انريتش 50 م نقط فم,6223003570354,28.0
147,انفكتوكيور 500ِ,6223003932244,117.0
1463,انفينتي صن بلوك جيل,6222019613000,205.0
1354,انكل زولا,4524454646543,16.77
1172,انكونت 4مجم اقراص,6223002971428,92.64
735,انوفا 50مجم,6223002640065,17.55
865,او ار اسى  فوار,6221094010421,32.0
1189,اوبتيبرد قطره للعين,4000545454458,43.2
1187,اوبتيديكس-ت قطره,4596987862895,34.56
431,اوبلكس ان بلس لبوس,6221075052600,25.6
439,اوبلكس شراب,6221075051207,18.9
1111,اوتال قطره للاذن,6221025013743,13.94
433,اوتريفين اطفال,6221045999911,16.56
432,اوتريفين بيبي سالين,6221045999928,23.3
195,اوتريفين للكبار نقط للانف,6221045999935,17.62
440,اوتوكورت نقط,6224001050350,17.94
424,اوجرام 1 جم,6223003970161,104.53
888,اوجرام457 5مللي شراب,6223003975548,49.19
188,اوجمنتين 1جم اقراص,6221045011279,154.18
194,اوجمنتين 625 جرام اقراص,6221045011286,85.9
858,اوجمنتين اي اس600,6221045011309,121.68
437,اورا زد غرغره,6225000029132,17.0
1114,اوراسين غسول للفم,6224007899014,35.97
715,اوراكيور جيل كبير,6221025016812,15.6
435,اوركابريد قطرة,6224000219680,27.0
1167,اوركاديكسولين قطره,6224000219222,20.47
434,اوركازيد قطرة,6224000219840,22.32
423,اورلي كبسول120مجم,6223002453535,177.6
425,اوروفيكس  غرغره قرنفل,6224000437800,62.9
429,اوروفيكس تفاح اخضر,6224000437817,62.9
426,اوروفيكس ديليكت,6224000437893,66.6
427,اوروفيكس غرغره اورنج,6224000437688,62.9
428,اوروفيكس غرغره نعناع,6224000437121,62.9
146,اورينت ان كريم,6225550070271,49.0
152,اوست-مات 60 م  اقراص,6223003204372,27.0
438,اوستيوكير اورجينال كبسول,6224001078033,109.5
149,اوستيوكير شراب,6224001078729,76.0
1386,اوف اسبراي 200 مل,6223001347200,151.0
248,اوفيوسيديك قطره مضاد حيوى للعين,6224000219437,19.6
1201,اوفيونهيبيتا اقراص,6224008302216,43.92
252,اوكاربون اقراص,6221042070033,84.0
430,اوكتاترون كبسول,6224008097112,80.94
1525,اوكساليبتال 300مجم اقراص,6222001400458,142.2
203,اوكسيمت 5جرام نقط للانف كبار,6221094500731,11.01
200,اوكسيمت نقط للاطفال25 جرام,6221094500519,11.01
261,اولفن جيل كبير,6221508200325,33.33
890,اولفنت شراب,6223002570058,24.96
1641,اولوبات قطره للعين,6222006501686,21.67
201,اولوهيستين قطره للعين,6221032331601,16.73
997,اولويز س الوفيرا طويل  جدا,4015400671336,27.0
996,اولويز سنجل ط جدا,4015400648215,27.0
995,اولويز سنجل طويل جدا,8001090993410,27.0
189,اومنيفورا حقن,6223003975210,93.97
1605,اومنيك اوكاس % 0.4 مجم اقراص,8718692511262,228.4
844,اوميجا 3 شراب,4615152151589,95.44
845,اوميجا زاد شراب,4545548454977,88.1
207,اوميز 10 جرام  اقراص,6221094018939,29.36
187,اوميز 20 اقراص,6221094018861,41.11
192,اوميز 40 جرام اقراص,6221094502827,95.44
1115,اوندالينز 4مجم لزقه للفم,6224008097808,117.47
238,اويجا 3بلس مكمل غذائى,6221042164138,216.0
1397,اى بيتش صغار,4632634554844,1.2
1398,اى بيتش كبار,4325495153515,1.25
1174,ايبكوتيل 20 مجم اقماع شرجيه,6221032250254,13.65
963,ايتوبرايد 50مجم,6223002571000,37.8
242,ايراستابكس ترو 20/5/12.5مجم اقراص,6223003205546,83.22
243,ايراستابكس تريو 40/5/12.5 مجم اقراص,6223003206567,108.0
1579,ايراستابكس تريو 40مجم/10مجم/25مجم اقراص,6223003205577,119.88
247,ايراستابكس كو  20/5 مجم اقراص,6223003205607,83.22
246,ايراستابكس كو 40/10 مجم  اقراص,6223003205669,122.1
244,ايراستابكس كو 40/5 مجم,6223003205638,105.12
1494,ايراكتابكس بلس 20/12.5مجم اقراص,6223003202781,57.72
928,ايروسبكت شراب,4527896314533,43.45
927,ايروسبكت كبسول,4578956489302,110.6
929,ايروكسول مرهم,8002660038326,77.39
265,ايرونيل 1.5 مجم شراب,6221042250015,23.2
204,ايرونيل 2.5 جرام اقراص,6221042005028,16.15
1614,ايزابريل 10 مجم اقراص,6223003208639,30.73
1186,ايزاكارد 75مجم,6223003201364,37.44
191,ايزوتريتونين 20 جرام اقراص,6224009052516,273.11
199,ايزوجاست 40 جرام اقراص,6224008933007,117.47
197,ايزوروميديرم جل موضغي 30 جرام,6222012400393,52.12
1132,ايزي سويت الورد,6224000076931,11.0
1131,ايزي سويت زيت زيتون,6224000076948,11.0
1455,ايزيس بقدونس وكرفس 20 كيس,6223000474778,23.8
1540,ايفا بودرة قدم زرقاء,6223001384076,31.0
1107,ايفا بى وايت للتفتيح40مل,6223001387916,21.0
1472,ايفا بيبي شاور 200 مل,6223004377549,84.0
1471,ايفا بيبي لوشن 200 مل,6223004377570,110.0
67,ايفا كريم بنفسجي,6223001380108,10.0
1476,ايفا لوشن ريسبي خوخ 370 مل,6223001389262,133.0
1435,ايفاستين اقراص,6223003570125,36.72
1436,ايفاستين شراب,6223003570248,19.32
1197,ايفرزين 60مل,6224000730581,41.6
1146,ايفونا جل كعب الغزال 250ملل,6224010198128,13.75
891,ايفي كان شراب,6225000460713,40.38
249,ايفيبرونت شراب,6224009387069,28.8
250,ايفيروسبان شراب,6223003571801,36.3
1632,ايكاندرا 50 اقراص,6222001401691,86.5
1492,ايمباكوزا بلس اقراص 10/5 مجم,6225000354166,264.18
1592,ايموكس 500 مجم اقراص,6221032131492,30.75
251,ايموكسكلاف 1جم اقراص مضاد حيوى,6221032119797,71.04
1553,ايموكسكلاف 228.5 شراب,6221032152800,35.13
877,ايموكسكلاف 625 مجم اقراص,6221032111463,66.4
892,ايموكسكلاف 642 شراب,6221032157706,53.59
885,ايموكسكلاف شراب 457مجم,6221032152701,52.26
1368,ايميرست 4مجم/2ملل محلول للحقن,6223004900297,96.9
1188,ايه اي جي  ايزوميبرازول 40مجم اقراص,4245895465131,207.3
38,بابيا مناديل,6223007653602,26.6
558,باراسيتامول 500مجم اقراص (المهن),6221508014212,9.49
560,بارامول 1000مجم,6221035009606,37.96
557,بارامول شراب,6221035003109,24.48
880,باكلوفين اقراص,6224009706075,24.0
881,باكلوفين اقراص,6221032220707,38.4
1499,باكلوفين اقراص 10مجم,6221035009514,23.94
1236,بالمرز كريم للشعر اصفر  50 م,010181066221,56.1
419,بامبديل شراب,6224007308240,24.23
508,بانادول ادفانس,6222010611333,69.0
1446,بانادول اكسترا احمر اقراص,6222010611326,86.4
598,بانادول كولد ان فلو اقراص,6222010610800,48.64
509,بانادول مايجرين,6221215000164,38.25
390,بانتازول 40مجم,6224009704231,72.8
