id,name,box_qty_available,box_price,box_purchase_price,total_selling_value_box,total_cost_value_box
463,لاسيكس اقراص,1,30.00,23.40,30.00,23.40
581,لاسيكس امبول 20مجم,2,36.00,27.00,72.00,54.00
1505,لاكتو لبن رقم 2,1,210.00,189.00,210.00,189.00
576,لاكتوديل 2.5مجم,2,72.00,51.93,144.00,103.86
566,لاكتيفينور 0.03 اقراص,1,25.00,19.50,25.00,19.50
1557,لاكتيول فورت اكياس فوار,0,120.00,86.04,0.00,0.00
460,لاكريتيرز قطره,1,49.00,34.79,49.00,34.79
575,لاميفين 125مجم,2,78.00,54.60,156.00,109.20
850,لاميفين 15جرام كريم,2,18.00,12.14,36.00,24.28
1516,لاميفين 250 مجم اقراص,1,112.00,76.16,112.00,76.16
1772,لاناكلور 250 مجم شراب,1,136.00,107.70,136.00,107.70
1166,لانتوس سلوستار 5 قلم,0,1244.00,943.30,0.00,0.00
489,لايس نقط,2,15.00,10.20,30.00,20.40
1422,لبخه كاولينا,3,18.00,10.00,54.00,30.00
1371,لبن لاكتو1 400جرام,1,195.00,152.20,195.00,152.20
1377,لجنوكايين سبراي,4,35.00,30.10,140.00,120.40
1196,لجنوكايين5%جل,3,24.00,18.72,72.00,56.16
2311,لوبريستيرا قطره,1,83.00,64.32,83.00,64.32
462,لوبريفيسك قطره,2,32.00,22.72,64.00,45.44
579,لوبريكف شراب للكحه,11,45.00,27.90,495.00,306.90
1852,لوبيكونت 24مجم ك اقراص,1,176.00,126.72,176.00,126.72
1754,لوبيكونت 8مجم اقراص,1,52.00,38.48,52.00,38.48
1369,لوتوفولون حقن,2,40.00,29.60,80.00,59.20
2150,لورنوكسيكام امبول,2,32.00,23.48,64.00,46.96
1721,لوسترال 50مجم اقراص,2,136.00,95.94,272.00,191.88
1546,لوسيدريل 250 مجم اقراص,1,92.00,55.64,92.00,55.64
133,لوسيدريل 500 مجم,1,150.00,117.00,150.00,117.00
276,لوفير 400مجم اقراص,2,76.00,59.28,152.00,118.56
2037,لولاوست اكياس,1,96.00,74.68,96.00,74.68
1295,لونا للتشققات 20 م,4,23.00,16.00,92.00,64.00
1294,لونا للشفاه ليب ثرابي 10 م,2,55.00,39.00,110.00,78.00
577,لوهيدران اكياس,2,32.00,24.96,64.00,49.92
142,لي لي دش مهبلي,1,69.90,51.03,69.90,51.03
459,ليبانتيل 300مجم اقراص,1,126.00,89.46,126.00,89.46
2085,ليبيتور 80 مجم اقراص,1,236.00,172.50,236.00,172.50
127,ليت اب غسول,1,190.00,142.50,190.00,142.50
722,ليدوكايين 2% 20مجم/ملل,4,33.00,21.45,132.00,85.80
2089,ليرجيكير شراب,1,31.00,26.00,31.00,26.00
140,ليسيد لوسيون موضعي,4,40.00,32.00,160.00,128.00
137,ليفابيون امبول,2,96.00,67.20,192.00,134.40
136,ليفانيك 500 محم,1,92.00,60.70,92.00,60.70
129,ليفانيك 750,2,66.00,43.56,132.00,87.12
125,ليفست,1,85.00,62.00,85.00,62.00
123,ليفست نقط,1,36.00,25.00,36.00,25.00
1337,ليفه كف,2,25.00,19.25,50.00,38.50
1535,ليفو كتيفان شراب,2,39.00,23.79,78.00,47.58
122,ليفوتافين 750 كبسول,1,108.00,81.00,108.00,81.00
124,ليفودل,1,67.00,45.50,67.00,45.50
866,ليفوهستام اقراص,2,117.00,73.71,234.00,147.42
896,ليفوهستام شراب,3,39.00,24.57,117.00,73.71
130,ليفوهستام نقط فم,2,46.00,42.94,92.00,85.88
1870,ليفياكول مساج جل,1,120.00,94.68,120.00,94.68
114,ليلاك جل مرطب 100مل,1,325.00,275.00,325.00,275.00
115,ليلاك صن بلوك  100 مل,1,325.00,278.00,325.00,278.00
141,ليليبل 10 مجم,2,120.00,96.00,240.00,192.00
1501,ليليبل 4مجم اكياس,2,93.00,74.21,186.00,148.42
135,ليليبل5مجم اقراص,2,92.00,73.60,184.00,147.20
143,ليمت ليس ومان,1,240.00,192.00,240.00,192.00
838,ليمتلس الزايم ماكس,1,145.00,108.75,145.00,108.75
886,ليمتلس اوسوفورتين د 3 5000 وحده اقراص,1,115.00,82.80,115.00,82.80
619,ليمتلس اوميجا 3 ايفا,2,230.00,184.00,460.00,368.00
834,ليمتلس بريناتال ماكس,0,210.00,170.10,0.00,0.00
776,ليمتلس بي كومبلكس او دي اف,2,135.00,98.13,270.00,196.26
131,ليمتلس كروماكس,0,399.00,271.20,0.00,0.00
2045,ليمتلس كيدز شراب,1,112.00,89.60,112.00,89.60
2322,ليمتلس ماغنسيوم اقراص,0,210.00,155.90,0.00,0.00
620,ليمتلس مان ماكس,2,240.00,192.00,480.00,384.00
1620,ليمتلس ميلجا ماكس اقراص,1,248.00,176.30,248.00,176.30
2132,ليندو سبراي 120مل,1,160.00,116.40,160.00,116.40
2184,لينكس كريم,1,70.00,50.82,70.00,50.82
1998,ماء اكسجين %10,2,14.00,7.85,28.00,15.70
1394,ماء اوكسيجين %10,1,12.00,8.00,12.00,8.00
1395,ماء اوكسيجين %20,3,17.50,8.25,52.50,24.75
1396,ماء اوكسيجين %30,1,17.50,8.25,17.50,8.25
1649,ماء معقم 5 سم للحقن,0,300.00,228.00,0.00,0.00
1899,ماء ورد اسبراي,3,15.00,9.90,45.00,29.70
78,ماء ورد العراب,2,37.00,27.50,74.00,55.00
1723,ماجيك اويل 60مل,2,80.00,56.43,160.00,112.86
461,ماجيك كريم,1,130.00,92.30,130.00,92.30
470,مارفيتنس 12.5مجم,1,87.00,65.25,87.00,65.25
465,مارك فاست اقراص,1,54.00,39.42,54.00,39.42
472,ماركال 700مجم,1,90.00,65.70,90.00,65.70
1756,ماركال بلس اقراص,2,105.00,80.22,210.00,160.44
458,ماريفان 3جم,1,36.00,27.72,36.00,27.72
466,ماريفان 5مجم,1,78.00,62.40,78.00,62.40
1148,ماسك حليب بوبانا ازرق 250جرام,1,63.00,43.00,63.00,43.00
1431,ماسك نيبو لايزر اطفال,1,20.00,12.50,20.00,12.50
1393,ماسك نيبولايزر اطفال ميدكير,14,20.00,11.00,280.00,154.00
1392,ماسك نيبولايزر كبار فوكس,8,25.00,13.40,200.00,107.20
