id,name,box_qty,strip_qty,box_purchase,strip_purchase,cost_box,cost_strip,cost_total
1978,ازروليد200/5 مجم شراب 22.5مل,1,1,39.52,39.52,39.52,39.52,79.04
2004,ازروليد30مللى شراب,2,2,45.83,45.83,91.66,91.66,183.32
339,ازماتك 20,0,1,26.30,13.15,0.00,13.15,13.15
964,ازماتك 40مجم,1,4,89.28,22.32,89.28,89.28,178.56
922,ازماكاست 10,1,5,113.88,37.96,113.88,189.80,303.68
921,ازماكاست 5,1,5,88.80,29.60,88.80,148.00,236.80
1716,ازمالير10مجم اقراص,1,1,29.20,29.20,29.20,29.20,58.40
2289,ازمو فيلا غسول للوجه,0,0,95.48,95.48,0.00,0.00,0.00
541,ازموراب 40مجم,1,2,96.60,48.30,96.60,96.60,193.20
364,اسبروتكت اقراص,1,3,40.78,13.59,40.78,40.78,81.56
1757,اسبريكارلو اقراص,2,5,34.38,11.46,68.76,57.30,126.06
592,اسبرين بروتكت اقراص,4,10,60.00,20.00,240.00,200.00,440.00
1531,اسبوسيد 75مجم اقراص,3,10,28.38,9.46,85.14,94.60,179.74
326,اسبوسيد اطفال,4,23,25.55,5.11,102.20,117.53,219.73
1151,استارفيل غسول  ابيض 200ملل,1,1,96.00,96.00,96.00,96.00,192.00
535,استربسل عسل وليمون,0,1,112.20,56.10,0.00,56.10,56.10
190,استيروماب 10جرام اقراص,1,3,96.91,32.30,96.91,96.91,193.82
2243,استيكان 10مجم اقراص,1,2,35.04,17.52,35.04,35.04,70.08
2242,استيكان 20مجم اقراص,0,1,77.38,38.69,0.00,38.69,38.69
1530,استيل سستايين 200مجم,1,0,45.10,4.51,45.10,0.00,45.10
304,استيل سستايين 600مجم,0,0,56.00,5.60,0.00,0.00,0.00
316,استين 20مجم,1,2,18.14,9.07,18.14,18.14,36.28
317,استين10مجم,1,2,18.14,9.07,18.14,18.14,36.28
1464,اسيتون 70 مل بيور,4,4,21.00,21.00,84.00,84.00,168.00
1470,اسيتون الاهرام 40 مل,1,1,9.75,9.75,9.75,9.75,19.50
833,اسيكلوفير 800 ستادا,1,7,221.20,31.60,221.20,221.20,442.40
361,اسيكلوفير كريم,3,3,15.80,15.80,47.40,47.40,94.80
2269,اسيكلوفير400ستادا اقراص,1,7,152.46,21.78,152.46,152.46,304.92
2192,افازير قطره للعين,2,2,18.20,18.20,36.40,36.40,72.80
2180,افوريكسال كبسول,0,2,196.00,65.33,0.00,130.67,130.67
1539,افوفا سويت فانيليا جوز الهند 100م,0,0,22.25,22.25,0.00,0.00,0.00
1226,افوفا عجينه بيضا احضر,0,0,22.75,22.75,0.00,0.00,0.00
1225,افوفا عجينه بيضا احمر,1,1,22.75,22.75,22.75,22.75,45.50
1224,افوفا عجينه بيضا اصفر,1,1,22.75,22.75,22.75,22.75,45.50
2337,افونا فازلين شفايف,3,9,13.00,4.33,39.00,39.00,78.00
2212,افيروبايوز 642.9 مجم شراب,2,2,85.18,85.18,170.36,170.36,340.72
2234,افيروثيازيد 12.5/10./40مجم,0,0,94.12,31.37,0.00,0.00,0.00
761,افيروثيازيد 12.5/5./40مجم,0,0,95.17,31.72,0.00,0.00,0.00
1927,افيروزوليد 600مجم اقراص,0,0,183.20,183.20,0.00,0.00,0.00
2073,افيروميلان 50مجم اقراص,1,3,78.30,26.10,78.30,78.30,156.60
336,افيفافاسك 10/160,1,4,69.60,17.40,69.60,69.60,139.20
337,افيفافاسك 5/160,1,4,90.52,22.63,90.52,90.52,181.04
196,افيل حقن,4,22,41.84,6.97,167.36,153.41,320.77
1778,اكت رابد 100 وحده حقن,2,2,52.85,52.85,105.70,105.70,211.40
1878,اكت رابد انسولين 100مجم بنفل,5,5,270.00,54.00,1350.00,270.00,1620.00
324,اكتوزنك اقراص,1,2,19.80,9.90,19.80,19.80,39.60
2075,اكتوفنت سي ار 4مجم اقراص,1,3,8.82,4.41,8.82,13.23,22.05
723,اكتوميثرين 5% 50مللي,8,8,35.75,35.75,286.00,286.00,572.00
1156,اكتيربدبنفل 100وحده,0,0,268.43,53.69,0.00,0.00,0.00
2111,اكتيفاست 50 مجم اقراص,1,3,24.75,8.25,24.75,24.75,49.50
537,اكتيفاست فوار,1,6,14.28,2.38,14.28,14.28,28.56
899,اكرتين %0.025 كريم,1,1,30.40,30.40,30.40,30.40,60.80
937,اكرتين %0.50 كريم,1,1,32.68,32.68,32.68,32.68,65.36
1124,اكس اسبراي % عرض,1,1,120.00,120.00,120.00,120.00,240.00
1125,اكس اسبراي % عرض,1,1,120.00,120.00,120.00,120.00,240.00
1126,اكس اسبراي % عرض,1,1,120.00,120.00,120.00,120.00,240.00
57,اكس بخاخ,0,0,93.00,93.00,0.00,0.00,0.00
2078,اكسارونت 5مجم اقراص,1,3,268.40,89.47,268.40,268.40,536.80
323,اكسامايد20مجم,1,2,75.26,37.63,75.26,75.26,150.52
320,اكسامايد5مجم,1,2,46.20,23.10,46.20,46.20,92.40
2341,اكسترا بانتين كريم,1,1,66.87,66.87,66.87,66.87,133.74
2074,اكسترا جينرال بروتين اكياس,0,0,99.25,99.25,0.00,0.00,0.00
2195,اكسترا كريم,1,1,40.95,40.95,40.95,40.95,81.90
366,اكستروما فورت جيل,0,0,29.11,29.11,0.00,0.00,0.00
2116,اكستروما فورت جيل,0,0,43.87,43.87,0.00,0.00,0.00
1611,اكستريم كراميل,0,0,54.75,54.75,0.00,0.00,0.00
968,اكستنشن 150/12.5 مجم بلاس,0,1,87.84,21.96,0.00,21.96,21.96
960,اكستنشن 300/12.5 مجم بلاس,1,4,108.00,27.00,108.00,108.00,216.00
1955,اكسفورج اتش 5/160/12.5مجم اقراص,0,1,203.04,101.52,0.00,101.52,101.52
2160,اكنى-فرى كريم,1,1,19.89,19.89,19.89,19.89,39.78
546,اكني اكت جيل,1,1,28.08,28.08,28.08,28.08,56.16
306,اكنيسكيف لعلاج حب الشباب,1,1,25.53,25.53,25.53,25.53,51.06
318,اكوا بلس شراب,2,2,27.00,27.00,54.00,54.00,108.00
350,ال- كارنتين,1,2,51.12,25.56,51.12,51.12,102.24
1816,ال-كارنيتين بلس اقراص,1,2,90.05,45.02,90.05,90.05,180.10
1367,ال_كارنيتين  امبور ميباكو,0,0,57.60,11.52,0.00,0.00,0.00
1938,البافيت شراب اخضر,1,1,27.69,27.69,27.69,27.69,55.38
1937,البافيت شراب بني,2,2,30.40,30.40,60.80,60.80,121.60
362,البندازول 400 اقراص,1,1,36.34,36.34,36.34,36.34,72.68
292,البندازول شراب,2,2,18.96,18.96,37.92,37.92,75.84
325,التراسولف شراب,0,0,30.00,30.00,0.00,0.00,0.00
1795,الترافير كريم تفتيح,1,1,45.66,45.66,45.66,45.66,91.32
363,التراكايين جل,0,0,18.60,18.60,0.00,0.00,0.00
1517,الترانيل كبسول,1,2,91.00,45.50,91.00,91.00,182.00
157,الجازون كريم,0,0,31.28,31.28,0.00,0.00,0.00
315,الدوميت250مجم,2,6,76.59,25.53,153.18,153.18,306.36
1110,الزميندا 5مجم,1,2,32.30,16.15,32.30,32.30,64.60
162,الزنتال 200 جرام اقراص,0,2,23.10,7.70,0.00,15.40,15.40
161,الزنتال شراب,1,1,15.32,15.32,15.32,15.32,30.64
1654,السيزول 60 كبسول,1,2,140.58,70.29,140.58,140.58,281.16
2049,الفافيم 300 مجم كبسول,0,0,127.60,63.80,0.00,0.00,0.00
1842,الفاكارينو نقط بالفم,2,2,112.40,112.40,224.80,224.80,449.60
