تقرير أسعار المنتجات - Products Price Report

تاريخ التقرير - Report Date: 2026-05-09 23:53:08

اسم المنتج,Product Name,سعر الشراء,Purchase Price,سعر البيع,Selling Price,الكمية,Stock Qty,إجمالي الشراء,Total Purchase,إجمالي البيع,Total Selling,الربح الإجمالي,Total Profit,نسبة الربح %,Profit Margin %
انتيكوكس 7.5 مجم اقراص,انتيكوكس 7.5 مجم اقراص,41.30,41.30,56.00,56.00,2,2,82.60,82.60,112.00,112.00,29.40,29.40,35.6,35.6
انتيكوكس15 جرام,انتيكوكس15 جرام,77.70,77.70,111.00,111.00,1,1,77.70,77.70,111.00,111.00,33.30,33.30,42.9,42.9
انتينال اقراص,انتينال اقراص,38.17,38.17,52.00,52.00,6,6,229.02,229.02,312.00,312.00,82.98,82.98,36.2,36.2
انتينال شراب,انتينال شراب,17.62,17.62,24.00,24.00,3,3,52.86,52.86,72.00,72.00,19.14,19.14,36.2,36.2
انجرام كريم حلاقة,انجرام كريم حلاقة,40.00,40.00,50.00,50.00,1,1,40.00,40.00,50.00,50.00,10.00,10.00,25.0,25.0
انجرام كريم حلاقة,انجرام كريم حلاقة,28.70,28.70,40.00,40.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,39.4,39.4
انجكتمول 100مل محلول وريدي,انجكتمول 100مل محلول وريدي,48.91,48.91,67.00,67.00,6,6,293.46,293.46,402.00,402.00,108.54,108.54,37.0,37.0
انجى كريم تفتيح 100مجم,انجى كريم تفتيح 100مجم,18.00,18.00,25.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,38.9,38.9
انجي كريم تفتيح صغير,انجي كريم تفتيح صغير,12.25,12.25,17.00,17.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,38.8,38.8
اندرال 10 جرام اقراص,اندرال 10 جرام اقراص,55.00,55.00,75.00,75.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,36.4,36.4
اندرال 40جرام اقراص,اندرال 40جرام اقراص,73.41,73.41,100.00,100.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,36.2,36.2
اندوبينتين 300مجم اقراص,اندوبينتين 300مجم اقراص,94.50,94.50,135.00,135.00,2,2,189.00,189.00,270.00,270.00,81.00,81.00,42.9,42.9
اندوبينتين 300مجم اقراص,اندوبينتين 300مجم اقراص,94.50,94.50,135.00,135.00,1,1,94.50,94.50,135.00,135.00,40.50,40.50,42.9,42.9
اندوريستات 80 مجم اقراص,اندوريستات 80 مجم اقراص,56.00,56.00,80.00,80.00,1,1,56.00,56.00,80.00,80.00,24.00,24.00,42.9,42.9
اندوفيت ايرون بلس شراب,اندوفيت ايرون بلس شراب,87.96,87.96,120.00,120.00,1,1,87.96,87.96,120.00,120.00,32.04,32.04,36.4,36.4
انرتش شراب 100ملل,انرتش شراب 100ملل,23.46,23.46,34.00,34.00,1,1,23.46,23.46,34.00,34.00,10.54,10.54,44.9,44.9
انريتش 50 م نقط فم,انريتش 50 م نقط فم,28.00,28.00,40.00,40.00,2,2,56.00,56.00,80.00,80.00,24.00,24.00,42.9,42.9
انزيهيرب اقراص,انزيهيرب اقراص,120.50,120.50,175.00,175.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,45.2,45.2
انفكتوكيور 250/5مل شراب,انفكتوكيور 250/5مل شراب,106.38,106.38,135.00,135.00,1,1,106.38,106.38,135.00,135.00,28.62,28.62,26.9,26.9
انفكتوكيور 500ِ,انفكتوكيور 500ِ,117.00,117.00,156.00,156.00,1,1,117.00,117.00,156.00,156.00,39.00,39.00,33.3,33.3
انفكتوميسين 500مجم اقراص,انفكتوميسين 500مجم اقراص,65.96,65.96,97.00,97.00,1,1,65.96,65.96,97.00,97.00,31.04,31.04,47.1,47.1
انفينتي صن بلوك جيل,انفينتي صن بلوك جيل,168.00,168.00,220.00,220.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,31.0,31.0
انكل زولا,انكل زولا,16.77,16.77,30.00,30.00,3,3,50.31,50.31,90.00,90.00,39.69,39.69,78.9,78.9
انكونت 4مجم اقراص,انكونت 4مجم اقراص,92.64,92.64,126.00,126.00,1,1,92.64,92.64,126.00,126.00,33.36,33.36,36.0,36.0
انماكس حقن شرجيه,انماكس حقن شرجيه,30.24,30.24,40.00,40.00,1,1,30.24,30.24,40.00,40.00,9.76,9.76,32.3,32.3
انوفا 50مجم,انوفا 50مجم,17.55,17.55,27.00,27.00,1,1,17.55,17.55,27.00,27.00,9.45,9.45,53.8,53.8
انوفوليك كبسول,انوفوليك كبسول,159.30,159.30,210.00,210.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,31.8,31.8
او ار اسى  فوار,او ار اسى  فوار,32.00,32.00,40.00,40.00,3,3,96.00,96.00,120.00,120.00,24.00,24.00,25.0,25.0
او زد كريم 100مجم,او زد كريم 100مجم,56.00,56.00,80.00,80.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,42.9,42.9
اواديليفو 500مجم اقراص,اواديليفو 500مجم اقراص,66.79,66.79,92.00,92.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.7,37.7
اوبتك سالين قطره للعين,اوبتك سالين قطره للعين,18.90,18.90,35.00,35.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,85.2,85.2
اوبتيبرد قطره للعين,اوبتيبرد قطره للعين,43.20,43.20,54.00,54.00,3,3,129.60,129.60,162.00,162.00,32.40,32.40,25.0,25.0
اوبتيديكس-ت قطره,اوبتيديكس-ت قطره,34.56,34.56,48.00,48.00,3,3,103.68,103.68,144.00,144.00,40.32,40.32,38.9,38.9
اوبتيفلوكس قطره,اوبتيفلوكس قطره,14.70,14.70,19.50,19.50,1,1,14.70,14.70,19.50,19.50,4.80,4.80,32.7,32.7
اوبلكس ان بلس لبوس,اوبلكس ان بلس لبوس,25.60,25.60,32.00,32.00,2,2,51.20,51.20,64.00,64.00,12.80,12.80,25.0,25.0
اوبلكس شراب,اوبلكس شراب,18.90,18.90,31.00,31.00,8,8,151.20,151.20,248.00,248.00,96.80,96.80,64.0,64.0
اوبونوف اقراص,اوبونوف اقراص,81.00,81.00,135.00,135.00,2,2,162.00,162.00,270.00,270.00,108.00,108.00,66.7,66.7
اوتال قطره للاذن,اوتال قطره للاذن,13.94,13.94,19.00,19.00,3,3,41.82,41.82,57.00,57.00,15.18,15.18,36.3,36.3
اوتريفين اطفال,اوتريفين اطفال,16.56,16.56,24.00,24.00,9,9,149.04,149.04,216.00,216.00,66.96,66.96,44.9,44.9
اوتريفين بيبي سالين,اوتريفين بيبي سالين,12.00,12.00,20.00,20.00,5,5,60.00,60.00,100.00,100.00,40.00,40.00,66.7,66.7
اوتريفين بيبي سالين15ملي,اوتريفين بيبي سالين15ملي,15.00,15.00,20.00,20.00,1,1,15.00,15.00,20.00,20.00,5.00,5.00,33.3,33.3
اوتريفين كبار نقط انف,اوتريفين كبار نقط انف,15.50,15.50,24.00,24.00,9,9,139.50,139.50,216.00,216.00,76.50,76.50,54.8,54.8
