تقرير أسعار المنتجات - Products Price Report

تاريخ التقرير - Report Date: 2026-05-09 23:53:08

اسم المنتج,Product Name,سعر الشراء,Purchase Price,سعر البيع,Selling Price,الكمية,Stock Qty,إجمالي الشراء,Total Purchase,إجمالي البيع,Total Selling,الربح الإجمالي,Total Profit,نسبة الربح %,Profit Margin %
اوركازيد قطرة,اوركازيد قطرة,22.32,22.32,31.00,31.00,1,1,22.32,22.32,31.00,31.00,8.68,8.68,38.9,38.9
اوركاكورتين مرهم,اوركاكورتين مرهم,28.50,28.50,38.00,38.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.3,33.3
اورلي كبسول120مجم,اورلي كبسول120مجم,177.60,177.60,240.00,240.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35.1,35.1
اوروفيكس  غرغره قرنفل,اوروفيكس  غرغره قرنفل,62.90,62.90,85.00,85.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35.1,35.1
اوروفيكس تفاح اخضر,اوروفيكس تفاح اخضر,71.60,71.60,95.00,95.00,1,1,71.60,71.60,95.00,95.00,23.40,23.40,32.7,32.7
اوروفيكس ديليكت,اوروفيكس ديليكت,66.60,66.60,90.00,90.00,1,1,66.60,66.60,90.00,90.00,23.40,23.40,35.1,35.1
اوروفيكس غرغره اورنج,اوروفيكس غرغره اورنج,62.90,62.90,85.00,85.00,1,1,62.90,62.90,85.00,85.00,22.10,22.10,35.1,35.1
اوروفيكس غرغره نعناع,اوروفيكس غرغره نعناع,62.90,62.90,85.00,85.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35.1,35.1
اورينت ان كريم,اورينت ان كريم,49.00,49.00,70.00,70.00,1,1,49.00,49.00,70.00,70.00,21.00,21.00,42.9,42.9
اوزمو فيلا غسول للوجه,اوزمو فيلا غسول للوجه,131.90,131.90,169.00,169.00,1,1,131.90,131.90,169.00,169.00,37.10,37.10,28.1,28.1
اوست-ماب60 م  اقراص,اوست-ماب60 م  اقراص,40.50,40.50,54.00,54.00,1,1,40.50,40.50,54.00,54.00,13.50,13.50,33.3,33.3
اوستيوكير اورجينال كبسول,اوستيوكير اورجينال كبسول,109.50,109.50,150.00,150.00,1,1,109.50,109.50,150.00,150.00,40.50,40.50,37.0,37.0
اوستيوكير شراب,اوستيوكير شراب,76.00,76.00,100.00,100.00,2,2,152.00,152.00,200.00,200.00,48.00,48.00,31.6,31.6
اوف اسبراي 200 مل,اوف اسبراي 200 مل,151.00,151.00,200.00,200.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.5,32.5
اوفلام 50 مجم اقراص,اوفلام 50 مجم اقراص,54.72,54.72,72.00,72.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,31.6,31.6
اوفيوسيديك قطره مضاد حيوى للعين,اوفيوسيديك قطره مضاد حيوى للعين,19.60,19.60,28.00,28.00,1,1,19.60,19.60,28.00,28.00,8.40,8.40,42.9,42.9
اوفيونهيبيتا اقراص,اوفيونهيبيتا اقراص,43.92,43.92,61.00,61.00,1,1,43.92,43.92,61.00,61.00,17.08,17.08,38.9,38.9
اوكاربون اقراص,اوكاربون اقراص,96.81,96.81,135.00,135.00,2,2,193.62,193.62,270.00,270.00,76.38,76.38,39.4,39.4
اوكتا د3 نقط بالفم,اوكتا د3 نقط بالفم,40.00,40.00,57.00,57.00,1,1,40.00,40.00,57.00,57.00,17.00,17.00,42.5,42.5
اوكتا د3 نقط فم,اوكتا د3 نقط فم,42.70,42.70,57.00,57.00,1,1,42.70,42.70,57.00,57.00,14.30,14.30,33.5,33.5
اوكتاترون كبسول,اوكتاترون كبسول,80.94,80.94,114.00,114.00,1,1,80.94,80.94,114.00,114.00,33.06,33.06,40.8,40.8
اوكساليبتال 300مجم اقراص,اوكساليبتال 300مجم اقراص,142.20,142.20,180.00,180.00,3,3,426.60,426.60,540.00,540.00,113.40,113.40,26.6,26.6
اوكسيمت 5جرام نقط للانف كبار,اوكسيمت 5جرام نقط للانف كبار,11.01,11.01,15.00,15.00,2,2,22.02,22.02,30.00,30.00,7.98,7.98,36.2,36.2
اوكسيمت نقط للاطفال25 جرام,اوكسيمت نقط للاطفال25 جرام,11.01,11.01,15.00,15.00,7,7,77.07,77.07,105.00,105.00,27.93,27.93,36.2,36.2
اولازوريكس 5 مجم اقراص,اولازوريكس 5 مجم اقراص,86.70,86.70,123.00,123.00,1,1,86.70,86.70,123.00,123.00,36.30,36.30,41.9,41.9
اولانزابين كوباد فارما 7.5 مجم,اولانزابين كوباد فارما 7.5 مجم,68.60,68.60,98.00,98.00,1,1,68.60,68.60,98.00,98.00,29.40,29.40,42.9,42.9
اولفن جيل كبير,اولفن جيل كبير,33.33,33.33,42.00,42.00,2,2,66.66,66.66,84.00,84.00,17.34,17.34,26.0,26.0
اولفنت شراب,اولفنت شراب,24.96,24.96,34.00,34.00,1,1,24.96,24.96,34.00,34.00,9.04,9.04,36.2,36.2
اولوبات قطره للعين,اولوبات قطره للعين,13.95,13.95,18.60,18.60,1,1,13.95,13.95,18.60,18.60,4.65,4.65,33.3,33.3
اولوهيستين فورت قطره للعين,اولوهيستين فورت قطره للعين,20.88,20.88,29.00,29.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,38.9,38.9
اولوهيستين قطره للعين,اولوهيستين قطره للعين,16.73,16.73,22.80,22.80,0,0,0.00,0.00,0.00,0.00,0.00,0.00,36.3,36.3
اولويز س الوفيرا طويل  جدا,اولويز س الوفيرا طويل  جدا,27.00,27.00,35.00,35.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,29.6,29.6
اولويز سنجل ط جدا,اولويز سنجل ط جدا,27.00,27.00,35.00,35.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,29.6,29.6
اولويز سنجل طويل جدا,اولويز سنجل طويل جدا,27.00,27.00,35.00,35.00,1,1,27.00,27.00,35.00,35.00,8.00,8.00,29.6,29.6
اومنيفورا حقن,اومنيفورا حقن,93.97,93.97,128.00,128.00,1,1,93.97,93.97,128.00,128.00,34.03,34.03,36.2,36.2
اومنيك اوكاس % 0.4 مجم اقراص,اومنيك اوكاس % 0.4 مجم اقراص,228.40,228.40,282.00,282.00,1,1,228.40,228.40,282.00,282.00,53.60,53.60,23.5,23.5
اوميجا 3 شراب,اوميجا 3 شراب,95.44,95.44,130.00,130.00,1,1,95.44,95.44,130.00,130.00,34.56,34.56,36.2,36.2
اوميجا 3بلس مكمل غذائى,اوميجا 3بلس مكمل غذائى,110.00,110.00,135.00,135.00,1,1,110.00,110.00,135.00,135.00,25.00,25.00,22.7,22.7
اوميجا د3 اقراص,اوميجا د3 اقراص,101.00,101.00,135.00,135.00,1,1,101.00,101.00,135.00,135.00,34.00,34.00,33.7,33.7
اوميجا زاد شراب,اوميجا زاد شراب,88.10,88.10,120.00,120.00,1,1,88.10,88.10,120.00,120.00,31.90,31.90,36.2,36.2
اوميجابرس 0.2مجم اقراص,اوميجابرس 0.2مجم اقراص,294.20,294.20,411.00,411.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,39.7,39.7
اوميجاكف شراب,اوميجاكف شراب,43.48,43.48,59.00,59.00,1,1,43.48,43.48,59.00,59.00,15.52,15.52,35.7,35.7
اوميز 10 جرام  اقراص,اوميز 10 جرام  اقراص,29.36,29.36,40.00,40.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,36.2,36.2
اوميز 20 اقراص,اوميز 20 اقراص,41.11,41.11,56.00,56.00,2,2,82.22,82.22,112.00,112.00,29.78,29.78,36.2,36.2
اوميز 40 جرام اقراص,اوميز 40 جرام اقراص,95.44,95.44,130.00,130.00,1,1,95.44,95.44,130.00,130.00,34.56,34.56,36.2,36.2
اوميز 40 فيال,اوميز 40 فيال,55.00,55.00,66.00,66.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,20.0
اوندالينز 4مجم لزقه للفم,اوندالينز 4مجم لزقه للفم,117.47,117.47,160.00,160.00,1,1,117.47,117.47,160.00,160.00,42.53,42.53,36.2,36.2
اوندالينز 8مجم افلام سريعه الذوبان,اوندالينز 8مجم افلام سريعه الذوبان,198.60,198.60,265.00,265.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.4,33.4
اى بيتش صغار,اى بيتش صغار,1.20,1.20,4.00,4.00,5,5,6.00,6.00,20.00,20.00,14.00,14.00,233.3,233.3
اى بيتش كبار,اى بيتش كبار,1.25,1.25,4.00,4.00,5,5,6.25,6.25,20.00,20.00,13.75,13.75,220.0,220.0
اى يست اقراص,اى يست اقراص,91.50,91.50,125.00,125.00,1,1,91.50,91.50,125.00,125.00,33.50,33.50,36.6,36.6
اي باتش لاصق اطفال,اي باتش لاصق اطفال,1.20,1.20,3.00,3.00,5,5,6.00,6.00,15.00,15.00,9.00,9.00,150.0,150.0
اي باتش لاصق كبار,اي باتش لاصق كبار,1.23,1.23,3.00,3.00,2,2,2.46,2.46,6.00,6.00,3.54,3.54,143.9,143.9
ايبكوتيل 20 مجم اقماع شرجيه,ايبكوتيل 20 مجم اقماع شرجيه,13.65,13.65,17.50,17.50,1,1,13.65,13.65,17.50,17.50,3.85,3.85,28.2,28.2
ايتراكون 100 مجم اقراص,ايتراكون 100 مجم اقراص,101.40,101.40,130.00,130.00,1,1,101.40,101.40,130.00,130.00,28.60,28.60,28.2,28.2
ايتوبرايد 50مجم,ايتوبرايد 50مجم,37.80,37.80,54.00,54.00,1,1,37.80,37.80,54.00,54.00,16.20,16.20,42.9,42.9
ايجيكيوسات شراب,ايجيكيوسات شراب,16.25,16.25,25.00,25.00,1,1,16.25,16.25,25.00,25.00,8.75,8.75,53.8,53.8
ايراستابكس بلس 20/12.5مجم اقراص,ايراستابكس بلس 20/12.5مجم اقراص,57.72,57.72,78.00,78.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35.1,35.1
ايراستابكس بلس 40/12.5 اقراص,ايراستابكس بلس 40/12.5 اقراص,75.16,75.16,96.00,96.00,1,1,75.16,75.16,96.00,96.00,20.84,20.84,27.7,27.7
ايراستابكس ترو 20/5/12.5مجم اقراص,ايراستابكس ترو 20/5/12.5مجم اقراص,83.22,83.22,114.00,114.00,2,2,166.44,166.44,228.00,228.00,61.56,61.56,37.0,37.0
ايراستابكس تريو 40/5/12.5 مجم اقراص,ايراستابكس تريو 40/5/12.5 مجم اقراص,108.00,108.00,114.00,114.00,1,1,108.00,108.00,114.00,114.00,6.00,6.00,5.6,5.6
ايراستابكس تريو 40مجم/10مجم/25مجم اقراص,ايراستابكس تريو 40مجم/10مجم/25مجم اقراص,119.88,119.88,162.00,162.00,2,2,239.76,239.76,324.00,324.00,84.24,84.24,35.1,35.1
ايراستابكس كو  20/5 مجم اقراص,ايراستابكس كو  20/5 مجم اقراص,84.36,84.36,114.00,114.00,2,2,168.72,168.72,228.00,228.00,59.28,59.28,35.1,35.1
ايراستابكس كو 40/10 مجم  اقراص,ايراستابكس كو 40/10 مجم  اقراص,122.10,122.10,165.00,165.00,1,1,122.10,122.10,165.00,165.00,42.90,42.90,35.1,35.1
ايراستابكس كو 40/5 مجم,ايراستابكس كو 40/5 مجم,106.40,106.40,144.00,144.00,2,2,212.80,212.80,288.00,288.00,75.20,75.20,35.3,35.3
ايروسبكت شراب,ايروسبكت شراب,55.00,55.00,75.00,75.00,1,1,55.00,55.00,75.00,75.00,20.00,20.00,36.4,36.4
ايروسبكت كبسول,ايروسبكت كبسول,110.60,110.60,140.00,140.00,1,1,110.60,110.60,140.00,140.00,29.40,29.40,26.6,26.6
ايروكسول مرهم,ايروكسول مرهم,77.39,77.39,109.00,109.00,1,1,77.39,77.39,109.00,109.00,31.61,31.61,40.8,40.8
ايرولامين اقراص,ايرولامين اقراص,101.80,101.80,138.00,138.00,1,1,101.80,101.80,138.00,138.00,36.20,36.20,35.6,35.6
ايرونيل 1.5 مجم شراب,ايرونيل 1.5 مجم شراب,23.20,23.20,29.00,29.00,1,1,23.20,23.20,29.00,29.00,5.80,5.80,25.0,25.0
ايرونيل 2.5 جرام اقراص,ايرونيل 2.5 جرام اقراص,16.15,16.15,22.00,22.00,2,2,32.30,32.30,44.00,44.00,11.70,11.70,36.2,36.2
ايزابريل 10 مجم اقراص,ايزابريل 10 مجم اقراص,30.73,30.73,54.00,54.00,1,1,30.73,30.73,54.00,54.00,23.27,23.27,75.7,75.7
ايزاكارد 75مجم,ايزاكارد 75مجم,37.44,37.44,51.00,51.00,3,3,112.32,112.32,153.00,153.00,40.68,40.68,36.2,36.2
ايزوتريتونين 20 جرام اقراص,ايزوتريتونين 20 جرام اقراص,273.11,273.11,372.00,372.00,1,1,273.11,273.11,372.00,372.00,98.89,98.89,36.2,36.2
ايزوجاست 40 جرام اقراص,ايزوجاست 40 جرام اقراص,117.47,117.47,160.00,160.00,1,1,117.47,117.47,160.00,160.00,42.53,42.53,36.2,36.2
ايزوروميديرم جل موضغي 30 جرام,ايزوروميديرم جل موضغي 30 جرام,52.12,52.12,71.00,71.00,2,2,104.24,104.24,142.00,142.00,37.76,37.76,36.2,36.2
ايزي سويت الورد,ايزي سويت الورد,11.00,11.00,16.00,16.00,1,1,11.00,11.00,16.00,16.00,5.00,5.00,45.5,45.5
ايزي سويت زيت زيتون,ايزي سويت زيت زيتون,11.00,11.00,16.00,16.00,2,2,22.00,22.00,32.00,32.00,10.00,10.00,45.5,45.5
ايزيس بقدونس وكرفس 20 كيس,ايزيس بقدونس وكرفس 20 كيس,23.80,23.80,40.00,40.00,2,2,47.60,47.60,80.00,80.00,32.40,32.40,68.1,68.1
ايزيس شاي اخضر بالنعناع,ايزيس شاي اخضر بالنعناع,27.30,27.30,35.00,35.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.2,28.2
ايزيس شاي اخضر بالنعناع,ايزيس شاي اخضر بالنعناع,13.80,13.80,21.00,21.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,52.2,52.2
ايسوبتن 80 مجم اقراص,ايسوبتن 80 مجم اقراص,38.00,38.00,50.00,50.00,1,1,38.00,38.00,50.00,50.00,12.00,12.00,31.6,31.6
ايفا اسيتون 100 ملل,ايفا اسيتون 100 ملل,36.60,36.60,45.00,45.00,1,1,36.60,36.60,45.00,45.00,8.40,8.40,23.0,23.0
ايفا بادي سبلاش,ايفا بادي سبلاش,159.90,159.90,200.00,200.00,1,1,159.90,159.90,200.00,200.00,40.10,40.10,25.1,25.1
ايفا بادي سبلاش بينك,ايفا بادي سبلاش بينك,159.00,159.00,200.00,200.00,1,1,159.00,159.00,200.00,200.00,41.00,41.00,25.8,25.8
ايفا بودرة قدم زرقاء,ايفا بودرة قدم زرقاء,31.00,31.00,40.00,40.00,1,1,31.00,31.00,40.00,40.00,9.00,9.00,29.0,29.0
ايفا بى وايت للتفتيح40مل,ايفا بى وايت للتفتيح40مل,21.00,21.00,28.00,28.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.3,33.3
ايفا بيبي شاور 200 مل,ايفا بيبي شاور 200 مل,84.00,84.00,100.00,100.00,1,1,84.00,84.00,100.00,100.00,16.00,16.00,19.0,19.0
ايفا بيبي لوشن 200 مل,ايفا بيبي لوشن 200 مل,110.00,110.00,130.00,130.00,1,1,110.00,110.00,130.00,130.00,20.00,20.00,18.2,18.2
ايفا ريسبي لوشن,ايفا ريسبي لوشن,133.00,133.00,165.00,165.00,1,1,133.00,133.00,165.00,165.00,32.00,32.00,24.1,24.1
ايفا سموكرز كبير,ايفا سموكرز كبير,35.03,35.03,45.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.5,28.5
ايفا سموكرز معجون اسنان بالفحم,ايفا سموكرز معجون اسنان بالفحم,35.35,35.35,45.00,45.00,2,2,70.70,70.70,90.00,90.00,19.30,19.30,27.3,27.3
ايفا فازلين لوشن للجسم,ايفا فازلين لوشن للجسم,86.50,86.50,115.00,115.00,1,1,86.50,86.50,115.00,115.00,28.50,28.50,32.9,32.9
ايفا فازلين لوشن للجسم,ايفا فازلين لوشن للجسم,86.50,86.50,115.00,115.00,1,1,86.50,86.50,115.00,115.00,28.50,28.50,32.9,32.9
ايفا فرش اسنان كبار سوفت,ايفا فرش اسنان كبار سوفت,22.00,22.00,30.00,30.00,12,12,264.00,264.00,360.00,360.00,96.00,96.00,36.4,36.4
ايفا كريم بنفسجي,ايفا كريم بنفسجي,10.00,10.00,20.00,20.00,2,2,20.00,20.00,40.00,40.00,20.00,20.00,100.0,100.0
ايفا كريم تشققات للقدمين,ايفا كريم تشققات للقدمين,54.40,54.40,70.00,70.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.7,28.7
ايفا كريم شعر بالعسل كبير,ايفا كريم شعر بالعسل كبير,68.00,68.00,85.00,85.00,1,1,68.00,68.00,85.00,85.00,17.00,17.00,25.0,25.0
ايفا كريم مرطب لليدين,ايفا كريم مرطب لليدين,50.50,50.50,65.00,65.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.7,28.7
ايفا لوشن ريسبي توت370مل,ايفا لوشن ريسبي توت370مل,133.00,133.00,175.00,175.00,1,1,133.00,133.00,175.00,175.00,42.00,42.00,31.6,31.6
ايفا لوشن ريسبي خوخ 370 مل,ايفا لوشن ريسبي خوخ 370 مل,133.00,133.00,175.00,175.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,31.6,31.6
ايفا مقشر للقدمين باشن,ايفا مقشر للقدمين باشن,54.49,54.49,70.00,70.00,1,1,54.49,54.49,70.00,70.00,15.51,15.51,28.5,28.5
ايفا هاند كريم,ايفا هاند كريم,60.00,60.00,65.00,65.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,8.3,8.3
ايفاستين اقراص,ايفاستين اقراص,36.72,36.72,54.00,54.00,1,1,36.72,36.72,54.00,54.00,17.28,17.28,47.1,47.1
ايفاستين شراب,ايفاستين شراب,19.32,19.32,28.00,28.00,2,2,38.64,38.64,56.00,56.00,17.36,17.36,44.9,44.9
ايفرزين 60مل,ايفرزين 60مل,41.60,41.60,52.00,52.00,1,1,41.60,41.60,52.00,52.00,10.40,10.40,25.0,25.0
ايفونا جل كعب الغزال 250ملل,ايفونا جل كعب الغزال 250ملل,13.75,13.75,20.00,20.00,1,1,13.75,13.75,20.00,20.00,6.25,6.25,45.5,45.5
ايفي استيل زنك شراب,ايفي استيل زنك شراب,53.40,53.40,75.00,75.00,3,3,160.20,160.20,225.00,225.00,64.80,64.80,40.4,40.4
ايفي زاد شراب,ايفي زاد شراب,46.92,46.92,65.00,65.00,2,2,93.84,93.84,130.00,130.00,36.16,36.16,38.5,38.5
ايفي كان شراب,ايفي كان شراب,40.38,40.38,55.00,55.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,36.2,36.2
ايفيبرونت شراب,ايفيبرونت شراب,28.80,28.80,57.00,57.00,5,5,144.00,144.00,285.00,285.00,141.00,141.00,97.9,97.9
ايفيروسبان شراب,ايفيروسبان شراب,36.30,36.30,55.00,55.00,3,3,108.90,108.90,165.00,165.00,56.10,56.10,51.5,51.5
ايكاندرا 50 اقراص,ايكاندرا 50 اقراص,86.50,86.50,118.50,118.50,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.0,37.0
ايكاندرا بلس 50 مجم اقراص,ايكاندرا بلس 50 مجم اقراص,126.70,126.70,192.00,192.00,1,1,126.70,126.70,192.00,192.00,65.30,65.30,51.5,51.5
ايكوتو اقراص,ايكوتو اقراص,108.00,108.00,135.00,135.00,2,2,216.00,216.00,270.00,270.00,54.00,54.00,25.0,25.0
ايمباكوزا 10 مجم اقراص,ايمباكوزا 10 مجم اقراص,180.00,180.00,240.00,240.00,1,1,180.00,180.00,240.00,240.00,60.00,60.00,33.3,33.3
ايمباكوزا 25مجم اقراص,ايمباكوزا 25مجم اقراص,165.80,165.80,240.00,240.00,1,1,165.80,165.80,240.00,240.00,74.20,74.20,44.8,44.8
ايمباكوزا بلس اقراص 10/5 مجم,ايمباكوزا بلس اقراص 10/5 مجم,264.18,264.18,357.00,357.00,1,1,264.18,264.18,357.00,357.00,92.82,92.82,35.1,35.1
ايمباكوزا تريو 1000/5/25 مجم اقراص,ايمباكوزا تريو 1000/5/25 مجم اقراص,289.00,289.00,396.00,396.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.0,37.0
ايموكس 500 مجم اقراص,ايموكس 500 مجم اقراص,30.75,30.75,40.00,40.00,1,1,30.75,30.75,40.00,40.00,9.25,9.25,30.1,30.1
ايموكسكلاف 1جم اقراص مضاد حيوى,ايموكسكلاف 1جم اقراص مضاد حيوى,71.04,71.04,96.00,96.00,1,1,71.04,71.04,96.00,96.00,24.96,24.96,35.1,35.1
ايموكسكلاف 228.5 شراب,ايموكسكلاف 228.5 شراب,35.13,35.13,49.00,49.00,2,2,70.26,70.26,98.00,98.00,27.74,27.74,39.5,39.5
ايموكسكلاف 625 مجم اقراص,ايموكسكلاف 625 مجم اقراص,66.40,66.40,83.00,83.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25.0,25.0
ايموكسكلاف 642 شراب,ايموكسكلاف 642 شراب,53.59,53.59,73.00,73.00,1,1,53.59,53.59,73.00,73.00,19.41,19.41,36.2,36.2
ايموكسكلاف شراب 457مجم,ايموكسكلاف شراب 457مجم,52.26,52.26,67.00,67.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.2,28.2
ايميرست 4مجم/2ملل محلول للحقن,ايميرست 4مجم/2ملل محلول للحقن,96.90,96.90,142.50,142.50,1,1,96.90,96.90,142.50,142.50,45.60,45.60,47.1,47.1
ايندوميتازين لبوس للالتهاب والروماتيزم,ايندوميتازين لبوس للالتهاب والروماتيزم,28.80,28.80,38.00,38.00,2,2,57.60,57.60,76.00,76.00,18.40,18.40,31.9,31.9
ايه اي جي  ايزوميبرازول 40مجم اقراص,ايه اي جي  ايزوميبرازول 40مجم اقراص,207.30,207.30,292.00,292.00,1,1,207.30,207.30,292.00,292.00,84.70,84.70,40.9,40.9
بابيا مناديل,بابيا مناديل,28.90,28.90,38.00,38.00,5,5,144.50,144.50,190.00,190.00,45.50,45.50,31.5,31.5
باراسيتامول 500مجم اقراص (المهن),باراسيتامول 500مجم اقراص (المهن),9.49,9.49,13.00,13.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.0,37.0
باراسيتامول نصار 500مجم اقراص,باراسيتامول نصار 500مجم اقراص,26.55,26.55,34.00,34.00,2,2,53.10,53.10,68.00,68.00,14.90,14.90,28.1,28.1
بارامول 1000مجم,بارامول 1000مجم,37.96,37.96,52.00,52.00,2,2,75.92,75.92,104.00,104.00,28.08,28.08,37.0,37.0
بارامول 500 مجم اقراص,بارامول 500 مجم اقراص,28.50,28.50,38.00,38.00,1,1,28.50,28.50,38.00,38.00,9.50,9.50,33.3,33.3
بارامول شراب,بارامول شراب,24.48,24.48,36.00,36.00,2,2,48.96,48.96,72.00,72.00,23.04,23.04,47.1,47.1
باروكسيتين 12.5 مجم اقراص,باروكسيتين 12.5 مجم اقراص,71.28,71.28,99.00,99.00,1,1,71.28,71.28,99.00,99.00,27.72,27.72,38.9,38.9
باشن بيبي كرم حفاض,باشن بيبي كرم حفاض,75.20,75.20,100.00,100.00,2,2,150.40,150.40,200.00,200.00,49.60,49.60,33.0,33.0
باكلوفين اقراص,باكلوفين اقراص,24.00,24.00,30.00,30.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25.0,25.0
باكلوفين اقراص,باكلوفين اقراص,38.40,38.40,48.00,48.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25.0,25.0
باكلوفين اقراص 10مجم,باكلوفين اقراص 10مجم,23.94,23.94,30.00,30.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25.3,25.3
بالمرز كريم علبه ازرق,بالمرز كريم علبه ازرق,125.00,125.00,150.00,150.00,1,1,125.00,125.00,150.00,150.00,25.00,25.00,20.0,20.0
بالمرز كريم للشعر اصفر  50 م,بالمرز كريم للشعر اصفر  50 م,54.70,54.70,65.00,65.00,1,1,54.70,54.70,65.00,65.00,10.30,10.30,18.8,18.8
بامبديل اقراص,بامبديل اقراص,55.89,55.89,81.00,81.00,1,1,55.89,55.89,81.00,81.00,25.11,25.11,44.9,44.9
بامبديل شراب,بامبديل شراب,24.23,24.23,32.00,32.00,1,1,24.23,24.23,32.00,32.00,7.77,7.77,32.1,32.1
بامبينو شراب,بامبينو شراب,54.00,54.00,75.00,75.00,2,2,108.00,108.00,150.00,150.00,42.00,42.00,38.9,38.9
بانادول ادفانس,بانادول ادفانس,69.00,69.00,92.00,92.00,4,4,276.00,276.00,368.00,368.00,92.00,92.00,33.3,33.3
بانادول اكتي هيد اقراص,بانادول اكتي هيد اقراص,45.63,45.63,62.00,62.00,1,1,45.63,45.63,62.00,62.00,16.37,16.37,35.9,35.9
بانادول اكسترا 24 قرص,بانادول اكسترا 24 قرص,40.50,40.50,58.00,58.00,3,3,121.50,121.50,174.00,174.00,52.50,52.50,43.2,43.2
بانادول اكسترا احمر اقراص,بانادول اكسترا احمر اقراص,86.40,86.40,108.00,108.00,4,4,345.60,345.60,432.00,432.00,86.40,86.40,25.0,25.0
بانادول اكسترا اقراص,بانادول اكسترا اقراص,90.00,90.00,116.00,116.00,4,4,360.00,360.00,464.00,464.00,104.00,104.00,28.9,28.9
بانادول جوينت اقراص,بانادول جوينت اقراص,48.75,48.75,67.00,67.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.4,37.4
بانادول كولد ان فلو اقراص,بانادول كولد ان فلو اقراص,48.64,48.64,76.00,76.00,5,5,243.20,243.20,380.00,380.00,136.80,136.80,56.2,56.2
بانادول مايجرين,بانادول مايجرين,38.25,38.25,51.00,51.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.3,33.3
بانادول مايجرين اقراص,بانادول مايجرين اقراص,37.60,37.60,51.00,51.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35.6,35.6
بانتازول 40مجم,بانتازول 40مجم,72.80,72.80,104.00,104.00,2,2,145.60,145.60,208.00,208.00,62.40,62.40,42.9,42.9
بانتازول 40مجم حقن,بانتازول 40مجم حقن,46.81,46.81,62.00,62.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.5,32.5
بانتوبي 20مجم اقراص,بانتوبي 20مجم اقراص,63.92,63.92,94.00,94.00,1,1,63.92,63.92,94.00,94.00,30.08,30.08,47.1,47.1
بانتوبي 40مجم,بانتوبي 40مجم,65.28,65.28,96.00,96.00,1,1,65.28,65.28,96.00,96.00,30.72,30.72,47.1,47.1
بانتوجار كبسول,بانتوجار كبسول,188.02,188.02,243.00,243.00,1,1,188.02,188.02,243.00,243.00,54.98,54.98,29.2,29.2
بانتولوك 40مجم,بانتولوك 40مجم,67.32,67.32,102.00,102.00,2,2,134.64,134.64,204.00,204.00,69.36,69.36,51.5,51.5
بانتولوك20مجم,بانتولوك20مجم,34.16,34.16,56.00,56.00,1,1,34.16,34.16,56.00,56.00,21.84,21.84,63.9,63.9
بانتوميريكان 40 مجم اقراص,بانتوميريكان 40 مجم اقراص,71.20,71.20,98.00,98.00,1,1,71.20,71.20,98.00,98.00,26.80,26.80,37.6,37.6
بانثينول 15جم كريم,بانثينول 15جم كريم,23.74,23.74,32.00,32.00,4,4,94.96,94.96,128.00,128.00,33.04,33.04,34.8,34.8
بانثينول 20جم كريم,بانثينول 20جم كريم,27.73,27.73,38.00,38.00,1,1,27.73,27.73,38.00,38.00,10.27,10.27,37.0,37.0
بانثينول 30جم كريم نوفكس,بانثينول 30جم كريم نوفكس,24.08,24.08,33.00,33.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.0,37.0
