sale_id,sale_date,medicine,unit_type,quantity,unit_price,subtotal,profit,purchase_price,unit_cost,unit_profit
47,2025-06-15 18:44,دوليبران1000مجم,STRIP,1,30.00,30.00,9.90,40.20,20.10,9.90
48,2025-06-16 16:47,راني -ف فوار اكياس,STRIP,2,7.00,14.00,3.94,30.18,5.03,1.97
49,2025-06-21 14:23,ليمتلس بريناتال ماكس,STRIP,1,70.00,70.00,13.30,170.10,56.70,13.30
50,2025-06-21 14:58,ليمتلس الزايم ماكس,STRIP,1,72.50,72.50,18.12,108.75,54.38,18.12
51,2025-06-25 16:11,فلاجيل 500مجم اقراص,STRIP,1,17.00,17.00,4.93,24.14,12.07,4.93
52,2025-06-26 21:04,بانادول كولد ان فلو اقراص,STRIP,1,38.00,38.00,13.68,48.64,24.32,13.68
53,2025-06-26 21:46,ليمتلس الزايم ماكس,STRIP,1,72.50,72.50,18.12,108.75,54.38,18.12
54,2025-06-26 22:02,ميمونتكس اقراص,BOX,1,440.00,440.00,110.00,330.00,330.00,110.00
55,2025-06-26 22:04,فوليك اسيد 500مجم,BOX,1,20.00,20.00,5.40,14.60,14.60,5.40
55,2025-06-26 22:04,ديبوفيت امبول,STRIP,1,17.00,17.00,5.61,56.95,11.39,5.61
56,2025-06-27 17:46,ديمرا اقراص,BOX,1,70.00,70.00,20.30,49.70,49.70,20.30
56,2025-06-27 17:46,بانادول ادفانس,BOX,1,92.00,92.00,23.00,69.00,69.00,23.00
56,2025-06-27 17:46,ان بي بانثينول كريم 50جم,BOX,1,30.00,30.00,13.50,16.50,16.50,13.50
57,2025-06-27 20:33,نوفيستوريك 20,BOX,1,72.00,72.00,20.88,51.12,51.12,20.88
57,2025-06-27 20:33,بانادول ادفانس,BOX,1,92.00,92.00,23.00,69.00,69.00,23.00
57,2025-06-27 20:33,فوليك اسيد 500مجم,BOX,1,20.00,20.00,5.40,14.60,14.60,5.40
57,2025-06-27 20:33,انتينال اقراص,STRIP,1,26.00,26.00,6.92,38.17,19.08,6.92
57,2025-06-27 20:33,بانتولوك 40مجم,BOX,1,102.00,102.00,34.68,67.32,67.32,34.68
58,2025-06-28 18:33,اسبرين بروتكت اقراص,STRIP,1,26.00,26.00,6.00,60.00,20.00,6.00
59,2025-06-28 19:40,بيتادريم كريم,BOX,1,18.00,18.00,4.68,13.32,13.32,4.68
60,2025-06-29 17:31,فيلداجلوز1000/50بلس,BOX,1,147.00,147.00,41.16,105.84,105.84,41.16
61,2025-06-29 19:15,دوليبران 1000مجم,STRIP,1,16.00,16.00,5.28,32.16,10.72,5.28
62,2025-06-29 21:00,شامبو صن سيلك 600 ملي,BOX,1,135.00,135.00,37.00,98.00,98.00,37.00
62,2025-06-29 21:00,سويت حرير,BOX,1,20.00,20.00,6.50,13.50,13.50,6.50
63,2025-06-29 21:48,نيورو ريماونت اقراص,STRIP,2,38.33,76.66,15.33,92.00,30.67,7.66
64,2025-06-30 18:45,فولتارين امبول,STRIP,1,17.00,17.00,3.57,40.30,13.43,3.57
65,2025-06-30 19:36,ميبو كريم,BOX,1,109.00,109.00,14.17,94.83,94.83,14.17
66,2025-07-03 19:35,اوتريفين اطفال,BOX,1,24.00,24.00,7.44,16.56,16.56,7.44
67,2025-07-03 20:55,فلوموكس 500مجم,STRIP,1,17.75,17.75,-6.74,48.99,24.50,-6.74
67,2025-07-03 20:55,فلاجيل 500مجم اقراص,STRIP,1,17.00,17.00,4.93,24.14,12.07,4.93
68,2025-07-03 20:58,سيرم بلوب صغير,BOX,1,120.00,120.00,12.00,108.00,108.00,12.00
69,2025-07-03 21:10,بانادول ادفانس,STRIP,1,23.00,23.00,5.75,69.00,17.25,5.75
69,2025-07-03 21:10,جافيسكون لحرقة المعده,STRIP,1,12.00,12.00,2.40,230.40,9.60,2.40
69,2025-07-03 21:10,جافيسكون لحرقة المعده,STRIP,1,12.00,12.00,2.40,230.40,9.60,2.40
70,2025-07-03 21:17,سوفي طويل,BOX,1,55.00,55.00,15.00,40.00,40.00,15.00
71,2025-07-03 21:40,بانادول ادفانس,STRIP,1,23.00,23.00,5.75,69.00,17.25,5.75
72,2025-07-03 21:41,هيستازين اقراص,STRIP,1,34.00,34.00,11.56,44.88,22.44,11.56
73,2025-07-03 21:51,ريفو اقراص,STRIP,1,7.05,7.05,1.76,105.75,5.29,1.76
74,2025-07-03 21:53,فلوموكس 500مجم,STRIP,1,17.75,17.75,-6.74,48.99,24.50,-6.74
75,2025-07-04 13:37,ستربتوكين اقراص,BOX,1,46.00,46.00,9.20,36.80,36.80,9.20
76,2025-07-04 14:44,راني -ف فوار اكياس,BOX,1,42.00,42.00,11.82,30.18,30.18,11.82
77,2025-07-04 16:14,ميثايلتكنو 30فيلم,BOX,1,135.00,135.00,29.70,105.30,105.30,29.70
78,2025-07-04 18:43,فلاجيل 500مجم اقراص,STRIP,1,17.00,17.00,4.93,24.14,12.07,4.93
78,2025-07-04 18:43,سبازموفري50مجم,STRIP,1,21.00,21.00,5.02,31.96,15.98,5.02
79,2025-07-04 18:46,بروفين 200مجم,STRIP,1,16.00,16.00,4.20,35.40,11.80,4.20
80,2025-07-04 20:14,سوفي طويل جدا,BOX,1,55.00,55.00,13.00,42.00,42.00,13.00
80,2025-07-04 20:14,سوفي طويل جدا,BOX,1,55.00,55.00,13.00,42.00,42.00,13.00
81,2025-07-04 21:07,فيدروب نقط,BOX,1,26.00,26.00,6.76,19.24,19.24,6.76
82,2025-07-04 21:14,انتودين 20 جرام اقراص,STRIP,1,20.00,20.00,5.32,44.05,14.68,5.32
83,2025-07-04 21:18,ميكوناز اورال جيل للفم,BOX,1,23.00,23.00,8.05,14.95,14.95,8.05
84,2025-07-05 13:34,كريم حلاقه خمس خمسات,BOX,1,22.00,22.00,-1.00,23.00,23.00,-1.00
85,2025-07-05 16:02,كونتافيفر ان شراب,BOX,1,33.00,33.00,8.58,24.42,24.42,8.58
86,2025-07-05 20:09,ميلجا اقراص,STRIP,1,27.00,27.00,7.56,77.76,19.44,7.56
87,2025-07-05 20:23,صابونه كبريت,BOX,1,25.00,25.00,7.00,18.00,18.00,7.00
88,2025-07-05 20:53,ميجاموكس 1مجم اقراص,STRIP,1,89.00,89.00,54.29,69.42,34.71,54.29
88,2025-07-05 20:53,باي-بروفينيد 150مجم,STRIP,1,27.00,27.00,8.91,36.18,18.09,8.91
89,2025-07-05 21:00,دياميكرون 60ام ار,STRIP,1,36.00,36.00,-4.71,122.14,40.71,-4.71
90,2025-07-05 21:28,فليبوتون امبول,BOX,1,51.00,51.00,14.28,36.72,36.72,14.28
90,2025-07-05 21:28,فليبوتون امبول,BOX,1,51.00,51.00,14.28,36.72,36.72,14.28
90,2025-07-05 21:28,ديبوفيت امبول,BOX,1,85.00,85.00,28.05,56.95,56.95,28.05
90,2025-07-05 21:28,فولتارين امبول,STRIP,1,17.00,17.00,3.57,40.30,13.43,3.57
91,2025-07-05 21:31,داونوبرازول 40مجم كبسول,BOX,1,95.00,95.00,26.73,68.27,68.27,26.73
92,2025-07-05 21:35,دولوكسبرين 30مجم اقراص,STRIP,1,90.00,90.00,25.32,129.36,64.68,25.32
93,2025-07-06 13:34,زوفيراكس شراب,BOX,1,96.00,96.00,22.08,73.92,73.92,22.08
94,2025-07-06 17:35,موفكسير 500/50مجم اقراص,BOX,1,78.00,78.00,20.28,57.72,57.72,20.28
95,2025-07-06 19:35,سبازموفري امبول 5مجم/2مللي,STRIP,1,18.00,18.00,5.07,38.80,12.93,5.07
96,2025-07-06 20:32,نايت كالم 3مجم,STRIP,1,35.00,35.00,9.27,77.20,25.73,9.27
97,2025-07-06 20:53,دوليبران 1000مجم,STRIP,1,16.00,16.00,5.28,32.16,10.72,5.28
97,2025-07-06 20:53,ستربتوكين اقراص,STRIP,1,23.00,23.00,4.60,36.80,18.40,4.60
98,2025-07-06 21:00,نيكسيكيور 20مجم,STRIP,1,32.00,32.00,8.96,46.08,23.04,8.96
99,2025-07-06 21:04,فوار فروت,STRIP,1,4.00,4.00,1.09,17.44,2.91,1.09
100,2025-07-06 21:09,ديكساميثازون العمريه,STRIP,1,12.00,12.00,4.92,21.24,7.08,4.92
101,2025-07-07 15:25,امبيزيم اقراص,STRIP,1,34.00,34.00,10.20,71.40,23.80,10.20
101,2025-07-07 15:25,دوليبران 1000مجم,STRIP,1,16.00,16.00,5.28,32.16,10.72,5.28
101,2025-07-07 15:25,دوليبران 1000مجم,STRIP,1,16.00,16.00,5.28,32.16,10.72,5.28
101,2025-07-07 15:25,ديوريسف 1جم اقراص,STRIP,1,39.00,39.00,10.98,56.05,28.02,10.98
101,2025-07-07 15:25,بيفاتراسين بخاخ 150مللي,BOX,1,83.00,83.00,24.07,58.93,58.93,24.07
102,2025-07-07 17:22,زيت جونسن كبير,BOX,1,120.00,120.00,25.00,95.00,95.00,25.00
103,2025-07-07 17:24,فيدروب نقط,BOX,1,26.00,26.00,6.76,19.24,19.24,6.76
104,2025-07-07 18:41,بروفين600مجم,BOX,1,99.00,99.00,32.67,66.33,66.33,32.67
105,2025-07-07 18:41,سوفي طويل,BOX,1,55.00,55.00,15.00,40.00,40.00,15.00
106,2025-07-07 19:00,كولوفيرين د اقراص,STRIP,1,35.00,35.00,8.75,78.75,26.25,8.75
106,2025-07-07 19:00,كولوفيرين د اقراص,STRIP,1,35.00,35.00,8.75,78.75,26.25,8.75
107,2025-07-07 20:31,بروفين400مجم,STRIP,1,26.00,26.00,8.06,53.82,17.94,8.06
107,2025-07-07 20:31,سوفي طويل,BOX,1,55.00,55.00,15.00,40.00,40.00,15.00
108,2025-07-07 20:32,بريستافلام 100مجم اقراص,BOX,1,102.00,102.00,28.56,73.44,73.44,28.56
108,2025-07-07 20:32,ديبوفيت امبول,BOX,1,85.00,85.00,28.05,56.95,56.95,28.05
108,2025-07-07 20:32,الفينترن اقراص,BOX,1,87.00,87.00,29.58,57.42,57.42,29.58
109,2025-07-08 14:44,ازماتك 40مجم,STRIP,1,72.00,72.00,49.68,89.28,22.32,49.68
110,2025-07-08 15:34,ستربتوكين اقراص,STRIP,1,23.00,23.00,4.60,36.80,18.40,4.60
111,2025-07-08 16:05,فليبوتون امبول,BOX,1,51.00,51.00,14.28,36.72,36.72,14.28
111,2025-07-08 16:05,دولوكسبرين 30مجم اقراص,STRIP,1,90.00,90.00,25.32,129.36,64.68,25.32
111,2025-07-08 16:05,فليبوتون امبول,BOX,1,51.00,51.00,14.28,36.72,36.72,14.28
